"","index","airport","city","country","IATA","ICAO","latitude","longitude","altitude","timezone","DST","tz_database","type","source"
"363",366,"Meinerzhagen Airport","Meinerzhagen","Germany","\N","EDKZ",51.0999984741211,7.59999990463257,1549,"1","E","Europe/Berlin","airport","OurAirports"
"364",367,"Arnsberg-Menden Airport","Arnsberg","Germany","ZCA","EDLA",51.4838905334473,7.89833307266235,794,"1","E","Europe/Berlin","airport","OurAirports"
"365",368,"Essen Mulheim Airport","Essen","Germany","ESS","EDLE",51.4023017883301,6.93732976913452,424,"1","E","Europe/Berlin","airport","OurAirports"
"366",369,"Bielefeld Airport","Bielefeld","Germany","\N","EDLI",51.9647216797,8.54444408417,433,"1","E","Europe/Berlin","airport","OurAirports"
"367",370,"Mönchengladbach Airport","Moenchengladbach","Germany","MGL","EDLN",51.2302780151367,6.50444412231445,125,"1","E","Europe/Berlin","airport","OurAirports"
"368",371,"Paderborn Lippstadt Airport","Paderborn","Germany","PAD","EDLP",51.6141014099,8.61631965637,699,"1","E","Europe/Berlin","airport","OurAirports"
"369",372,"Stadtlohn-Vreden Airport","Stadtlohn","Germany","\N","EDLS",51.9958343505859,6.84055614471436,157,"1","E","Europe/Berlin","airport","OurAirports"
"370",373,"Dortmund Airport","Dortmund","Germany","DTM","EDLW",51.5182991028,7.61223983765,425,"1","E","Europe/Berlin","airport","OurAirports"
"371",374,"Augsburg Airport","Augsburg","Germany","AGB","EDMA",48.425278,10.931667,1516,"1","E","Europe/Berlin","airport","OurAirports"
"372",375,"Biberach a.d. Riß Airport","Biberach","Germany","\N","EDMB",48.1111106872559,9.76277828216553,1903,"1","E","Europe/Berlin","airport","OurAirports"
"373",376,"Eggenfelden Airport","Eggenfelden","Germany","\N","EDME",48.396110534668,12.7236108779907,1342,"1","E","Europe/Berlin","airport","OurAirports"
"374",377,"Mindelheim-Mattsies Airport","Mindelheim","Germany","\N","EDMN",48.1069450378418,10.5249996185303,1857,"1","E","Europe/Berlin","airport","OurAirports"
"375",378,"Oberpfaffenhofen Airport","Oberpfaffenhofen","Germany","OBF","EDMO",48.0814018249512,11.2831001281738,1947,"1","E","Europe/Berlin","airport","OurAirports"
"376",379,"Straubing Airport","Straubing","Germany","RBM","EDMS",48.9008331298828,12.5166673660278,1047,"1","E","Europe/Berlin","airport","OurAirports"
